state,date,crop_type,planted_area,production,year,hist_mean_temp,yield
Sarawak,2017-01-01,fruits,35248.7,150688.5,2017,27.0,4.275008723725982
Sarawak,2018-01-01,fruits,37078.3,141047.3,2018,27.15,3.804039020127675
Sarawak,2019-01-01,fruits,35769.8,160713.7,2019,27.4,4.4929996812953945
Sarawak,2020-01-01,fruits,36868.7,174313.9,2020,27.25,4.727964370862005
Sarawak,2021-01-01,fruits,36814.1,145573.0,2021,26.9,3.954272955199231
Sarawak,2022-01-01,fruits,36397.5,147922.3,2022,26.95,4.064078576825331
Sarawak,2017-01-01,herbs,685.4,3016.4,2017,27.0,4.400933761307266
Sarawak,2018-01-01,herbs,666.5,2842.4,2018,27.15,4.264666166541636
Sarawak,2019-01-01,herbs,665.0,2854.7,2019,27.4,4.292781954887218
Sarawak,2020-01-01,herbs,654.4,2809.4,2020,27.25,4.293092909535453
Sarawak,2021-01-01,herbs,643.6,2947.6,2021,26.9,4.579863269111249
Sarawak,2022-01-01,herbs,637.9,2981.2,2022,26.95,4.673459789935727
Sarawak,2017-01-01,industrial_crops,55903.7,239297.5,2017,27.0,4.280530626774257
Sarawak,2018-01-01,industrial_crops,55459.1,104710.7,2018,27.15,1.8880706682942925
Sarawak,2019-01-01,industrial_crops,58192.5,249948.7,2019,27.4,4.295204708510547
Sarawak,2020-01-01,industrial_crops,80396.3,182901.1,2020,27.25,2.2749939984800296
Sarawak,2021-01-01,industrial_crops,80408.3,155557.2,2021,26.9,1.934591329502054
Sarawak,2022-01-01,industrial_crops,48509.1,127987.5,2022,26.95,2.6384224815550072
Sarawak,2017-01-01,paddy,120713.0,246305.0,2017,27.0,2.040418181968802
Sarawak,2018-01-01,paddy,135426.0,265358.0,2018,27.15,1.9594317191676636
Sarawak,2019-01-01,paddy,109261.0,215491.0,2019,27.4,1.97225908604168
Sarawak,2020-01-01,paddy,90865.2,167588.9,2020,27.25,1.8443683610447124
Sarawak,2021-01-01,paddy,83143.0,148903.0,2021,26.9,1.790926476071347
Sarawak,2022-01-01,paddy,77943.0,147272.0,2022,26.95,1.889483340389772
Sarawak,2017-01-01,spices,544.0,3556.3,2017,27.0,6.537316176470589
Sarawak,2018-01-01,spices,473.7,2744.3,2018,27.15,5.793329111251848
Sarawak,2019-01-01,spices,465.7,2700.5,2019,27.4,5.798797509126047
Sarawak,2020-01-01,spices,498.9,2988.4,2020,27.25,5.989977951493286
Sarawak,2021-01-01,spices,496.7,2919.6,2021,26.9,5.877994765451983
Sarawak,2022-01-01,spices,481.8,2863.1,2022,26.95,5.942507264425072
Sarawak,2017-01-01,vegetables,5031.1,51872.4,2017,27.0,10.310349625330444
Sarawak,2018-01-01,vegetables,4533.7,43691.0,2018,27.15,9.636941129761563
Sarawak,2019-01-01,vegetables,6098.2,61348.8,2019,27.4,10.060148896395658
Sarawak,2020-01-01,vegetables,6057.6,62163.5,2020,27.25,10.262067485472794
Sarawak,2021-01-01,vegetables,5595.3,56647.8,2021,26.9,10.124175647418369
Sarawak,2022-01-01,vegetables,5255.3,53191.2,2022,26.95,10.121439308888169
Selangor,2017-01-01,cash_crops,1295.4,20445.2,2017,28.1,15.782924193299367
Selangor,2018-01-01,cash_crops,1220.5,17368.8,2018,28.25,14.23088897992626
Selangor,2019-01-01,cash_crops,1108.3,16707.2,2019,28.5,15.074618785527386
Selangor,2020-01-01,cash_crops,1061.8,13330.3,2020,28.35,12.554435863627802
Selangor,2021-01-01,cash_crops,936.9,11764.4,2021,28.0,12.556729640303127
Selangor,2022-01-01,cash_crops,605.6,9411.1,2022,28.05,15.540125495376486
Selangor,2017-01-01,coconut,8816.5,103435.4,2017,28.1,11.732025180060115
Selangor,2018-01-01,coconut,9860.2,95641.5,2018,28.25,9.69975254051642
Selangor,2019-01-01,coconut,15075.7,99760.7,2019,28.5,6.617317935485582
